"cell_type","gene","avg_log2FC","p_val","p_val_adj","pct.1","pct.2"
"Immature B","Dnajc21",-0.686770210944842,0.511809266309855,1,0.224,0.358
"Immature B","Bcl2l1",-0.809203276998691,0.554784302387827,1,0.034,0.041
"Immature B","Prkd2",-0.61002020560209,0.596220591003851,1,0.414,0.534
"Immature B","Tnfrsf19",-0.726258713855303,0.635435578455308,1,0.017,0.028
"Immature B","Daam1",0.996504070076293,0.87342124924572,1,0.034,0.028
"Immature B","Dlg3",-1.07085635321183,0.995856773117302,1,0,0.017
"Immature B","Tcf7l2",-0.88515006446232,0.995881757872961,1,0,0.017
"MzB","Bach2",-3.06847223036256,1.53525960999188e-26,4.95658565085878e-22,0.174,0.472
"MzB","Cd55",-2.24622375815092,7.83578560632033e-26,2.52978338300052e-21,0.274,0.635
"MzB","Crip1",-0.809332416172824,1.14634581250053e-18,3.70097745565797e-14,0.756,0.815
"MzB","Irf8",-0.904000521053483,1.19291097809622e-11,3.85131309278364e-07,0.515,0.758
"MzB","Grap2",-1.50764414584685,1.65543642837866e-07,0.00534457650902051,0.084,0.225
"MzB","Ccnd3",-1.14781546686099,3.15964510748649e-07,0.0102009142295201,0.305,0.517
"MzB","Gsn",-0.987844338993963,5.90145523198342e-07,0.0190528482164585,0.226,0.365
"MzB","Satb1",-1.34232302442738,1.70311211476869e-06,0.054984974625307,0.192,0.337
"MzB","Mybl2",-3.89711637104214,2.50123227171867e-06,0.0807522838924374,0.004,0.062
"MzB","Vpreb3",-1.05914029489091,2.69183471278442e-06,0.086905883702245,0.177,0.343
"MzB","Il17ra",-0.875457840042132,4.23740759356397e-06,0.136804704158213,0.315,0.433
"MzB","Stat2",-0.841633990934461,7.37019798238605e-06,0.237946841861334,0.233,0.376
"MzB","Klf2",-1.5152646549369,4.77440506074669e-05,1,0.242,0.444
"MzB","Smarca4",-0.767582510803427,7.45334544294321e-05,1,0.409,0.489
"MzB","Akap12",-2.26811203243484,0.000164614606165246,1,0.019,0.09
"MzB","Ppp3ca",-0.59045636048257,0.000180576320674865,1,0.6,0.713
"MzB","Oasl1",-1.49063240951474,0.000242828725481334,1,0.063,0.146
"MzB","Mgst1",-1.39922504114535,0.000391467613344841,1,0.022,0.079
"MzB","Eps8",-2.93740892468254,0.00102260312732736,1,0.009,0.045
"MzB","Ptger4",-1.71683713784999,0.00475631737512354,1,0.023,0.062
"MzB","Ppp1r12b",-1.63115705414155,0.0149298486207916,1,0.054,0.096
"MzB","P2rx7",-1.96686254561523,0.0197012455786732,1,0.006,0.028
"MzB","Dnajc21",-0.823612802322776,0.0235279172862198,1,0.175,0.247
"MzB","Pde2a",-2.3267681712609,0.0325413814423474,1,0.015,0.045
"MzB","Cplx2",-2.38487887672241,0.034157510207307,1,0.009,0.022
"MzB","Atp1b1",-1.66305766542058,0.0358332748950632,1,0.037,0.062
"MzB","Aldh1b1",-1.13562388195061,0.0424468580742807,1,0.012,0.034
"MzB","Myl4",-0.646374410291208,0.0481505193196677,1,0.103,0.146
"MzB","Ptgr1",-1.80023590643508,0.0620419931510821,1,0.006,0.022
"MzB","Capn5",-0.852241770028158,0.248392499765796,1,0.009,0.022
"MzB","Tnfrsf19",-1.6668305985001,0.278491981256525,1,0.019,0.011
"MzB","Ramp1",-1.16610441054137,0.313762523925691,1,0.006,0.017
"MzB","Alpl",-0.783716760620851,0.457037472878458,1,0.035,0.045
"MzB","Bcl2l1",-0.857204172740729,0.581364124600732,1,0.008,0.006
"MzB","Dlg3",-1.80082885742537,0.582679622258456,1,0.019,0.022
"MzB","Flt3",-0.666734843017312,0.607652115931046,1,0.012,0.011
"MzB","Vav3",-1.04863797743699,0.74167097174462,1,0.114,0.14
"MzB","Tcf7l2",-5.66114794241875,0.996025887440653,1,0,0.017
"PreB","Ramp1",3.50078113299795,3.80800999634573e-49,1.22941602732022e-44,0.78,0.13
"PreB","Fcrla",-2.06910124082058,5.66801253079517e-46,1.82991784556722e-41,0.535,0.945
"PreB","Klf2",-2.51896111162425,1.01917957269652e-45,3.29042125045071e-41,0.378,0.904
"PreB","Atp1b1",-1.89896919798478,1.05000230545306e-37,3.3899324431552e-33,0.669,0.953
"PreB","Cmtm7",1.09368256413432,1.29197615145487e-31,4.17114500497205e-27,0.992,0.867
"PreB","Siglecg",-1.8941558983781,1.96038603542802e-29,6.32910631537936e-25,0.606,0.924
"PreB","Ikzf3",-2.13306926723356,2.46363341934765e-23,7.95384049436388e-19,0.331,0.779
"PreB","Bach2",-1.32162890702357,4.16373847715008e-23,1.3442629673479e-18,0.843,0.971
"PreB","Fxyd5",3.94021638709622,1.56930303725311e-21,5.06649485577165e-17,0.378,0.039
"PreB","Mylip",-1.96294629339455,3.33560158743875e-20,1.0768989725046e-15,0.433,0.768
"PreB","Btg1",-1.14643138725783,1.73645320592462e-18,5.60613917532764e-14,0.85,0.982
"PreB","Uchl1",-3.29198944314882,7.0570898502939e-18,2.27838145816739e-13,0.157,0.604
