"contrast","gene","estimate","SE","df","t.ratio","p.value","gene_type","padj","chain"
"MUT - WT","IGHV2-6",1.1615890987791,0.35017111725115,553,3.31720419404547,0.000968957348769208,"v_gene",0.00634834125055688,"IGH"
"MUT - WT","IGLJ2",0.342827820700685,0.0979829922135701,44,3.49885028978739,0.00108223759883195,"j_gene",0.00685417145926903,"IGL"
"MUT - WT","IGHV1-55",-1.62181226246544,0.495216743167912,553,-3.27495442115037,0.00112291743184106,"v_gene",0.00688239716289682,"IGH"
"MUT - WT","IGHV8-8",-1.24524890484781,0.391503210965311,553,-3.18068631359999,0.00155161501565802,"v_gene",0.0092127141554695,"IGH"
"MUT - WT","IGHV1-82",-1.09239654965523,0.350171117251151,553,-3.11960780269533,0.00190529922131176,"v_gene",0.0106472603543892,"IGH"
"MUT - WT","IGHD5-5",1.48594004879916,0.438691504552583,32,3.38720953877293,0.00188632694096933,"d_gene",0.0106472603543892,"IGH"
"MUT - WT","IGKV10-95",1.21309613120202,0.391503210965312,553,3.09855985142739,0.00204345212016929,"v_gene",0.0110930257952047,"IGK"
"MUT - WT","IGHV5-9",1.07047341977236,0.35017111725115,553,3.05700089766283,0.00234365788023837,"v_gene",0.0123693054790358,"IGH"
"MUT - WT","IGHV1-42",-1.04812750630936,0.350171117251152,553,-2.99318662983165,0.00288414903086971,"v_gene",0.0133776767573263,"IGH"
"MUT - WT","IGHV1-61",-1.4929062824672,0.495216743167923,553,-3.01465227713629,0.00269076627793728,"v_gene",0.0133776767573263,"IGH"
"MUT - WT","IGHV1-9",-1.05498566631082,0.350171117251151,553,-3.0127717973786,0.00270722003275404,"v_gene",0.0133776767573263,"IGH"
"MUT - WT","IGKV13-85",-1.48213703230099,0.495216743167916,553,-2.99290573824245,0.00288676182658095,"v_gene",0.0133776767573263,"IGK"
"MUT - WT","IGKV8-34",1.28635650446609,0.42887027996281,553,2.99940696421687,0.0028268406450469,"v_gene",0.0133776767573263,"IGK"
"MUT - WT","IGHD5-2",0.997770918751932,0.310201737718061,32,3.21652266067831,0.00296523365769241,"d_gene",0.0134141522609895,"IGH"
"MUT - WT","IGHV1-80",-1.03572661772031,0.350171117251151,553,-2.95777283360997,0.00323117301906024,"v_gene",0.0142772761307313,"IGH"
"MUT - WT","IGHV1-72",-1.03293484712659,0.350171117251151,553,-2.94980024404967,0.00331438094176292,"v_gene",0.014312099521249,"IGH"
"MUT - WT","IGHV1-74",-1.02484294821894,0.350171117251152,553,-2.92669183073685,0.0035667348002114,"v_gene",0.014922149032253,"IGH"
"MUT - WT","IGKV5-43",1.0234246221121,0.35017111725115,553,2.92264145068846,0.00361273081833494,"v_gene",0.014922149032253,"IGK"
"MUT - WT","IGKV4-58",1.01661949768278,0.350171117251151,553,2.90320773929975,0.00384103455994161,"v_gene",0.0155275865189129,"IGK"
"MUT - WT","IGKV17-121",-0.999437635798293,0.35017111725115,553,-2.85414069453785,0.00447711896767594,"v_gene",0.0177219292470506,"IGK"
"MUT - WT","IGKV10-94",-0.968702166676325,0.350171117251151,553,-2.76636798111921,0.00585803443159935,"v_gene",0.0224881366316804,"IGK"
"MUT - WT","IGHJ2",-0.283435103358146,0.0979829922135701,44,-2.89269695643049,0.00591793069254749,"j_gene",0.0224881366316804,"IGH"
"MUT - WT","IGHV2-3",0.943422659134396,0.35017111725115,553,2.69417611178295,0.00727068238015587,"v_gene",0.0265659548505695,"IGH"
"MUT - WT","IGKV1-133",0.945353901337177,0.35017111725115,553,2.69969125026136,0.00715282608779674,"v_gene",0.0265659548505695,"IGK"
"MUT - WT","IGHV1-26",-0.924203185852014,0.350171117251155,553,-2.63929016506848,0.00854232957700425,"v_gene",0.0306234456534114,"IGH"
"MUT - WT","IGHJ1",-0.266009716059237,0.0979829922135703,44,-2.71485601786302,0.0094357424546225,"j_gene",0.0331998345625607,"IGH"
"MUT - WT","IGKV8-30",0.909645613750888,0.35017111725115,553,2.59771742710142,0.00963459292791833,"v_gene",0.0332831392055361,"IGK"
"MUT - WT","IGKJ5",0.262665388575126,0.0979829922135701,44,2.6807243036894,0.010300626697636,"j_gene",0.0349485548669793,"IGK"
"MUT - WT","IGHV1-15",-0.993265746424057,0.391503210965303,553,-2.53705644961385,0.0114525691117395,"v_gene",0.038175230372465,"IGH"
"MUT - WT","IGHV1-58",-0.966605724470781,0.391503210965312,553,-2.46895988946671,0.0138517741220842,"v_gene",0.0453765014344136,"IGH"
"MUT - WT","IGHV1-19",0.852698736854956,0.350171117251153,553,2.43509157336748,0.0152030852104709,"v_gene",0.0489590879659231,"IGH"
"MUT - WT","IGKV4-59",0.845049198571254,0.350171117251151,553,2.4132464299309,0.0161352461941713,"v_gene",0.0510949462815424,"IGK"
"MUT - WT","IGLC1",-0.504772397913979,0.197999217707681,24,-2.5493656174905,0.0176012511131916,"c_gene",0.0548235690410886,"IGL"
"MUT - WT","IGHV1-39",-0.827437879596975,0.35017111725115,553,-2.3629529645174,0.0184750882409149,"v_gene",0.0566172058995781,"IGH"
"MUT - WT","IGKV1-132",1.40553805951253,0.606514166422151,553,2.31740351227714,0.0208459706196291,"v_gene",0.062868800281421,"IGK"
"MUT - WT","IGHV1-36",0.896595581146407,0.391503210965311,553,2.29013595810802,0.0223890588953502,"v_gene",0.0654449413864082,"IGH"
"MUT - WT","IGKV4-50",0.803565038192985,0.35017111725115,553,2.29477817731224,0.0221195216585604,"v_gene",0.0654449413864082,"IGK"
"MUT - WT","IGHV1-69",-1.11287699854906,0.495216743167918,553,-2.2472523675794,0.0250173747771666,"v_gene",0.0699014883479656,"IGH"
"MUT - WT","IGHV1-71",-1.11842122838685,0.495216743167915,553,-2.2584479297535,0.0243065756800506,"v_gene",0.0699014883479656,"IGH"
"MUT - WT","IGKV17-127",-0.787719968051066,0.35017111725115,553,-2.24952867110995,0.0248714094830714,"v_gene",0.0699014883479656,"IGK"
"MUT - WT","IGHV1-76",-0.867583654580083,0.39150321096531,553,-2.21603202804116,0.0270956447897139,"v_gene",0.074611195797763,"IGH"
"MUT - WT","IGKV4-55",0.770811587645477,0.35017111725115,553,2.20124262016914,0.0281312301201754,"v_gene",0.076356196040476,"IGK"
"MUT - WT","IGHV3-6",-0.74358019247962,0.35017111725115,553,-2.12347665426189,0.0341573032800309,"v_gene",0.091406867932477,"IGH"
"MUT - WT","IGHD2-3",0.550217888032615,0.253278658244636,32,2.17238156521334,0.0373445040684899,"d_gene",0.0985479968474039,"IGH"
"MUT - WT","IGKV10-96",-0.725118815266909,0.350171117251151,553,-2.07075563786958,0.0388450385001397,"v_gene",0.0997372610138723,"IGK"
"MUT - WT","IGKV4-72",0.811887417597969,0.391503210965311,553,2.07376949884047,0.0385630052257119,"v_gene",0.0997372610138723,"IGK"
"MUT - WT","IGKV4-70",0.712955683346265,0.35017111725115,553,2.0360208144606,0.0422242980688174,"v_gene",0.106968221774337,"IGK"
"MUT - WT","IGKV4-57-1",0.705640072538699,0.35017111725115,553,2.01512928330008,0.0443744880740438,"v_gene",0.11093622018511,"IGK"
"MUT - WT","IGKV9-120",-0.702669664977415,0.350171117251151,553,-2.00664655181553,0.0452736217481931,"v_gene",0.111488052665555,"IGK"
"MUT - WT","IGKJ2",-0.201429754657308,0.0979829922135702,44,-2.05576243495665,0.045768779515333,"j_gene",0.111488052665555,"IGK"
"MUT - WT","IGHV2-9-1",0.692152117889996,0.350171117251151,553,1.97661110180475,0.0485820007850766,"v_gene",0.116842786698286,"IGH"
"MUT - WT","IGKV4-68",0.685823271858831,0.35017111725115,553,1.95853752086282,0.0506692106439424,"v_gene",0.120339375279363,"IGK"
"MUT - WT","IGKV13-84",-0.683668883340727,0.350171117251151,553,-1.95238513303878,0.0513966833135072,"v_gene",0.120560121352671,"IGK"
